Using device: cuda
Loading pre-extracted embeddings...
Loaded 6493 samples.

Training Super Domain Mapper (OHNM + MixUp + Learnable Temp)...
Epoch 73/600 | Loss: 1.2774 | Temp: 0.0735 | LR: 3.00e-04
Epoch 74/600 | Loss: 1.4454 | Temp: 0.0735 | LR: 2.99e-04
Epoch 75/600 | Loss: 0.7526 | Temp: 0.0737 | LR: 2.99e-04
Epoch 76/600 | Loss: 0.7445 | Temp: 0.0739 | LR: 2.99e-04
Epoch 77/600 | Loss: 1.2761 | Temp: 0.0740 | LR: 2.99e-04
Epoch 78/600 | Loss: 1.2340 | Temp: 0.0741 | LR: 2.99e-04
Epoch 79/600 | Loss: 0.9213 | Temp: 0.0743 | LR: 2.99e-04
Epoch 80/600 | Loss: 1.6284 | Temp: 0.0743 | LR: 2.99e-04
Epoch 81/600 | Loss: 1.5855 | Temp: 0.0743 | LR: 2.99e-04
Epoch 82/600 | Loss: 1.3099 | Temp: 0.0743 | LR: 2.99e-04
Epoch 83/600 | Loss: 1.0605 | Temp: 0.0744 | LR: 2.99e-04
Epoch 84/600 | Loss: 2.1327 | Temp: 0.0743 | LR: 2.99e-04
Epoch 85/600 | Loss: 1.0160 | Temp: 0.0744 | LR: 2.98e-04
Epoch 86/600 | Loss: 1.0418 | Temp: 0.0745 | LR: 2.98e-04
Epoch 87/600 | Loss: 0.8774 | Temp: 0.0746 | LR: 2.98e-04
Epoch 88/600 | Loss: 1.0507 | Temp: 0.0748 | LR: 2.98e-04
Epoch 89/600 | Loss: 1.2063 | Temp: 0.0749 | LR: 2.98e-04
Epoch 90/600 | Loss: 0.8343 | Temp: 0.0750 | LR: 2.98e-04
Epoch 91/600 | Loss: 1.5414 | Temp: 0.0750 | LR: 2.98e-04
Epoch 92/600 | Loss: 1.1715 | Temp: 0.0750 | LR: 2.97e-04
Epoch 93/600 | Loss: 1.1563 | Temp: 0.0750 | LR: 2.97e-04
Epoch 94/600 | Loss: 1.1394 | Temp: 0.0751 | LR: 2.97e-04
Epoch 95/600 | Loss: 1.0045 | Temp: 0.0752 | LR: 2.97e-04
Epoch 96/600 | Loss: 0.8117 | Temp: 0.0753 | LR: 2.97e-04
Epoch 97/600 | Loss: 1.3204 | Temp: 0.0753 | LR: 2.97e-04
Epoch 98/600 | Loss: 1.1454 | Temp: 0.0754 | LR: 2.96e-04
Epoch 99/600 | Loss: 1.0421 | Temp: 0.0754 | LR: 2.96e-04
Epoch 100/600 | Loss: 1.1474 | Temp: 0.0755 | LR: 2.96e-04
Epoch 101/600 | Loss: 0.8004 | Temp: 0.0756 | LR: 2.96e-04
Epoch 102/600 | Loss: 1.0692 | Temp: 0.0757 | LR: 2.96e-04
Epoch 103/600 | Loss: 0.9329 | Temp: 0.0757 | LR: 2.95e-04
Epoch 104/600 | Loss: 1.3098 | Temp: 0.0757 | LR: 2.95e-04
Epoch 105/600 | Loss: 1.4380 | Temp: 0.0757 | LR: 2.95e-04
Epoch 106/600 | Loss: 1.2711 | Temp: 0.0756 | LR: 2.95e-04
