Using device: cuda
Loading pre-extracted embeddings...
Loaded 6493 samples.

Training Domain Mapper...
Epoch 158/500 | Loss: 0.7154
Epoch 159/500 | Loss: 0.7185
Epoch 160/500 | Loss: 0.7359
Epoch 161/500 | Loss: 0.6874
Epoch 162/500 | Loss: 0.7080
Epoch 163/500 | Loss: 0.7275
Epoch 164/500 | Loss: 0.6984
Epoch 165/500 | Loss: 0.7065
Epoch 166/500 | Loss: 0.6753
Epoch 167/500 | Loss: 0.6771
Epoch 168/500 | Loss: 0.7041
Epoch 169/500 | Loss: 0.6929
Epoch 170/500 | Loss: 0.7209
Epoch 171/500 | Loss: 0.7031
Epoch 172/500 | Loss: 0.7417
Epoch 173/500 | Loss: 0.6952
Epoch 174/500 | Loss: 0.7352
Epoch 175/500 | Loss: 0.7233
Epoch 176/500 | Loss: 0.7367
Epoch 177/500 | Loss: 0.7152
Epoch 178/500 | Loss: 0.6945
Epoch 179/500 | Loss: 0.7157
Epoch 180/500 | Loss: 0.7123
Epoch 181/500 | Loss: 0.6913
Epoch 182/500 | Loss: 0.7194
Epoch 183/500 | Loss: 0.7423
Epoch 184/500 | Loss: 0.7077
Epoch 185/500 | Loss: 0.7318
Epoch 186/500 | Loss: 0.7133
Epoch 187/500 | Loss: 0.6981
Epoch 188/500 | Loss: 0.6825
Epoch 189/500 | Loss: 0.6902
Epoch 190/500 | Loss: 0.7196
Epoch 191/500 | Loss: 0.6865
Epoch 192/500 | Loss: 0.6965
Epoch 193/500 | Loss: 0.6701
Epoch 194/500 | Loss: 0.6910
Epoch 195/500 | Loss: 0.6959
Epoch 196/500 | Loss: 0.6874
Epoch 197/500 | Loss: 0.6990
Epoch 198/500 | Loss: 0.6817
Epoch 199/500 | Loss: 0.6879
Epoch 200/500 | Loss: 0.7014
Epoch 201/500 | Loss: 0.6929
Epoch 202/500 | Loss: 0.6816
Epoch 203/500 | Loss: 0.7004
Epoch 204/500 | Loss: 0.7594
Epoch 205/500 | Loss: 0.7004
Epoch 206/500 | Loss: 0.7249
Epoch 207/500 | Loss: 0.6854
Epoch 208/500 | Loss: 0.7098
Epoch 209/500 | Loss: 0.7005
Epoch 210/500 | Loss: 0.7165
Epoch 211/500 | Loss: 0.7181
Epoch 212/500 | Loss: 0.6894
Epoch 213/500 | Loss: 0.6580
Epoch 214/500 | Loss: 0.6925
Epoch 215/500 | Loss: 0.6818
Epoch 216/500 | Loss: 0.7074
Epoch 217/500 | Loss: 0.7038
Epoch 218/500 | Loss: 0.6942
Epoch 219/500 | Loss: 0.6970
Epoch 220/500 | Loss: 0.6768
Epoch 221/500 | Loss: 0.6896
Epoch 222/500 | Loss: 0.6978
Epoch 223/500 | Loss: 0.7110
Epoch 224/500 | Loss: 0.6865
Epoch 225/500 | Loss: 0.6822
Epoch 226/500 | Loss: 0.6987
Epoch 227/500 | Loss: 0.6839
Epoch 228/500 | Loss: 0.6912
Epoch 229/500 | Loss: 0.6742
Epoch 230/500 | Loss: 0.7005
Epoch 231/500 | Loss: 0.6948
Epoch 232/500 | Loss: 0.6682
Epoch 233/500 | Loss: 0.6639
Epoch 234/500 | Loss: 0.7098
Epoch 235/500 | Loss: 0.7100
Epoch 236/500 | Loss: 0.6913
Epoch 237/500 | Loss: 0.6565
Epoch 238/500 | Loss: 0.7007
Epoch 239/500 | Loss: 0.6913
Epoch 240/500 | Loss: 0.6912
Epoch 241/500 | Loss: 0.7085
Epoch 242/500 | Loss: 0.6737
Epoch 243/500 | Loss: 0.7239
Epoch 244/500 | Loss: 0.6833
Epoch 245/500 | Loss: 0.6773
Epoch 246/500 | Loss: 0.6720
Epoch 247/500 | Loss: 0.6742
Epoch 248/500 | Loss: 0.7045
Epoch 249/500 | Loss: 0.6612
Epoch 250/500 | Loss: 0.6808
Epoch 251/500 | Loss: 0.6761
Epoch 252/500 | Loss: 0.6790
Epoch 253/500 | Loss: 0.6840
Epoch 254/500 | Loss: 0.7037
Epoch 255/500 | Loss: 0.6752
Epoch 256/500 | Loss: 0.7034
Epoch 257/500 | Loss: 0.6863
Epoch 258/500 | Loss: 0.7014
Epoch 259/500 | Loss: 0.6819
Epoch 260/500 | Loss: 0.6557
Epoch 261/500 | Loss: 0.6634
Epoch 262/500 | Loss: 0.6691
Epoch 263/500 | Loss: 0.6827
Epoch 264/500 | Loss: 0.6832
Epoch 265/500 | Loss: 0.6689
Epoch 266/500 | Loss: 0.6845
Epoch 267/500 | Loss: 0.6709
Epoch 268/500 | Loss: 0.6642
Epoch 269/500 | Loss: 0.7148
Epoch 270/500 | Loss: 0.6900
Epoch 271/500 | Loss: 0.6956
Epoch 272/500 | Loss: 0.6704
Epoch 273/500 | Loss: 0.6984
Epoch 274/500 | Loss: 0.6648
Epoch 275/500 | Loss: 0.6811
Epoch 276/500 | Loss: 0.7030
Epoch 277/500 | Loss: 0.7084
Epoch 278/500 | Loss: 0.6921
Epoch 279/500 | Loss: 0.6661
Epoch 280/500 | Loss: 0.6677
Epoch 281/500 | Loss: 0.6550
Epoch 282/500 | Loss: 0.6945
Epoch 283/500 | Loss: 0.6879
Epoch 284/500 | Loss: 0.6440
Epoch 285/500 | Loss: 0.6601
Epoch 286/500 | Loss: 0.6625
Epoch 287/500 | Loss: 0.6666
Epoch 288/500 | Loss: 0.6575
Epoch 289/500 | Loss: 0.6871
Epoch 290/500 | Loss: 0.6634
Epoch 291/500 | Loss: 0.6602
Epoch 292/500 | Loss: 0.6543
Epoch 293/500 | Loss: 0.6651
Epoch 294/500 | Loss: 0.6856
Epoch 295/500 | Loss: 0.6806
Epoch 296/500 | Loss: 0.6753
Epoch 297/500 | Loss: 0.6695
Epoch 298/500 | Loss: 0.7029
Epoch 299/500 | Loss: 0.6686
Epoch 300/500 | Loss: 0.6362
Epoch 301/500 | Loss: 0.6472
Epoch 302/500 | Loss: 0.6428
Epoch 303/500 | Loss: 0.6790
Epoch 304/500 | Loss: 0.7004
Epoch 305/500 | Loss: 0.6559
Epoch 306/500 | Loss: 0.6834
Epoch 307/500 | Loss: 0.6661
Epoch 308/500 | Loss: 0.6914
Epoch 309/500 | Loss: 0.6684
Epoch 310/500 | Loss: 0.6733
Epoch 311/500 | Loss: 0.6577
Epoch 312/500 | Loss: 0.6625
Epoch 313/500 | Loss: 0.6653
Epoch 314/500 | Loss: 0.6964
Epoch 315/500 | Loss: 0.6485
Epoch 316/500 | Loss: 0.6494
Epoch 317/500 | Loss: 0.6587
Epoch 318/500 | Loss: 0.6560
Epoch 319/500 | Loss: 0.6985
Epoch 320/500 | Loss: 0.6591
Epoch 321/500 | Loss: 0.6735
Epoch 322/500 | Loss: 0.6544
Epoch 323/500 | Loss: 0.6755
Epoch 324/500 | Loss: 0.6278
Epoch 325/500 | Loss: 0.6610
Epoch 326/500 | Loss: 0.6331
Epoch 327/500 | Loss: 0.6824
Epoch 328/500 | Loss: 0.6353
Epoch 329/500 | Loss: 0.6584
Epoch 330/500 | Loss: 0.6596
Epoch 331/500 | Loss: 0.6565
Epoch 332/500 | Loss: 0.6665
Epoch 333/500 | Loss: 0.6976
Epoch 334/500 | Loss: 0.6852
Epoch 335/500 | Loss: 0.6537
Epoch 336/500 | Loss: 0.6743
Epoch 337/500 | Loss: 0.6512
Epoch 338/500 | Loss: 0.6547
Epoch 339/500 | Loss: 0.6722
Epoch 340/500 | Loss: 0.6556
Epoch 341/500 | Loss: 0.6795
Epoch 342/500 | Loss: 0.6831
Epoch 343/500 | Loss: 0.6475
Epoch 344/500 | Loss: 0.6523
Epoch 345/500 | Loss: 0.6825
Epoch 346/500 | Loss: 0.6638
Epoch 347/500 | Loss: 0.6882
Epoch 348/500 | Loss: 0.6771
Epoch 349/500 | Loss: 0.6494
Epoch 350/500 | Loss: 0.6676
Epoch 351/500 | Loss: 0.6698
Epoch 352/500 | Loss: 0.6459
Epoch 353/500 | Loss: 0.6770
Epoch 354/500 | Loss: 0.6384
Epoch 355/500 | Loss: 0.6808
Epoch 356/500 | Loss: 0.6753
Epoch 357/500 | Loss: 0.6878
Epoch 358/500 | Loss: 0.6519
Epoch 359/500 | Loss: 0.6305
Epoch 360/500 | Loss: 0.6705
Epoch 361/500 | Loss: 0.6443
Epoch 362/500 | Loss: 0.6652
Epoch 363/500 | Loss: 0.6298
Epoch 364/500 | Loss: 0.6848
Epoch 365/500 | Loss: 0.6644
Epoch 366/500 | Loss: 0.6580
Epoch 367/500 | Loss: 0.6429
Epoch 368/500 | Loss: 0.6699
Epoch 369/500 | Loss: 0.6583
Epoch 370/500 | Loss: 0.6339
Epoch 371/500 | Loss: 0.6725
Epoch 372/500 | Loss: 0.7038
Epoch 373/500 | Loss: 0.6557
Epoch 374/500 | Loss: 0.6698
Epoch 375/500 | Loss: 0.6581
Epoch 376/500 | Loss: 0.6480
Epoch 377/500 | Loss: 0.6264
Epoch 378/500 | Loss: 0.6636
Epoch 379/500 | Loss: 0.6915
Epoch 380/500 | Loss: 0.6655
Epoch 381/500 | Loss: 0.6756
Epoch 382/500 | Loss: 0.6659
